date,disease,pathway,countries,who_report_url
2025-02-21,Ebola and Sudan virus disease,wildlife,SD UG,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON556
2025-02-14,Marburg virus disease,wildlife,TZ,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON554
2025-02-01,Ebola and Sudan virus disease,wildlife,SD UG,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON555
2025-01-14,Marburg virus disease,wildlife,TZ,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON552
2024-12-20,Marburg virus disease,wildlife,RW,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON548
2024-12-10,Avian influenza,birds,VN,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON514
2024-12-05,Oropouche fever,vector,,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON545
2024-11-13,Marburg virus disease,wildlife,RW,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON544
2024-11-01,Marburg virus disease,wildlife,RW,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON543
2024-10-25,Marburg virus disease,wildlife,RW,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON541
2024-10-18,Marburg virus disease,wildlife,RW,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON540
2024-10-11,Marburg virus disease,wildlife,RW,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON539
2024-10-03,West Nile fever,birds,BB,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON538
2024-10-02,MERS,livestock,SA,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON536
2024-09-30,Marburg virus disease,wildlife,RW,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON537
2024-09-20,Avian influenza,birds,,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON534
2024-09-04,Swine-origin influenza,livestock,VN,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON532
2024-09-02,Avian influenza,birds,KH,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON533
2024-08-30,Mpox,wildlife,SE,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON531
2024-08-23,Oropouche fever,vector,,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON530
2024-08-22,Mpox,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON528
2024-07-09,Mpox,wildlife,ZA,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON525
2024-06-14,Mpox,wildlife,CD,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON522
2024-06-14,Avian influenza,birds,MX,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON524
2024-06-11,Avian influenza,birds,IN,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON523
2024-06-11,Oropouche fever,vector,CU,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON521
2024-06-07,Avian influenza,birds,AU,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON519
2024-06-05,Avian influenza,birds,MX,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON520
2024-05-08,MERS,livestock,SA,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON516
2024-04-10,Rabies,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON513
2024-04-09,Avian influenza,birds,US,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON512
2024-04-02,Avian influenza,birds,VN,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON511
2024-03-20,Yellow fever,vector,,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON510
2024-03-14,Rift Valley fever,livestock,MR,https://www.who.int/emergencies/disease-outbreak-news/item/1998DON235
2024-03-14,Marburg virus disease,wildlife,CD,https://www.who.int/emergencies/disease-outbreak-news/item/1999DON230
2024-03-14,Yellow fever,vector,GN,https://www.who.int/emergencies/disease-outbreak-news/item/2000DON226
2024-03-14,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000DON223
2024-03-14,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000DON222
2024-03-14,Rift Valley fever,livestock,YE,https://www.who.int/emergencies/disease-outbreak-news/item/2000DON221
2024-03-14,Rift Valley fever,livestock,SA,https://www.who.int/emergencies/disease-outbreak-news/item/2000DON220
2024-03-14,Ebola and Sudan virus disease,wildlife,UG,https://www.who.int/emergencies/disease-outbreak-news/item/2000DON219
